Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1700-1799,1700 - Germany (Ven. Bartolomeo Holzhauser),"Excluded — no locatable site identified (new excluded record written this pass — bare country name only, no city/structure named)",research_findings excluded a68a7442-9f5d-4320-bda0-46614a070372,
1700-1799,1700 - S. Severino Lucano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9af85efd-1b7d-454e-8c61-dcb54b91eac4,
1700-1799,ca. 1700 - Poponguine (Senegal),Not previously ingested — written as new lead this pass,research_findings lead 3c735321-9f5c-4aac-99b9-268608a3b454,
1700-1799,1700? - Quillacollo/Urkupiña (Bolivia),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 74dbc943-0e56-4ef2-a308-a4641269bc20,
1700-1799,"January 25, 1704 - Florida (USA) — Antonio Cuipa","Not previously ingested — written as new lead this pass (low confidence — flagged for review; Ayubale itself has no confirmed distinct locatable site, nearest well-documented associated site cited instead)",research_findings lead 6971c975-926a-442a-b434-e992ce73dc75,
1700-1799,August 1705 - Capurso (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8998f604-10d9-4006-93f6-5811e12fb717,
1700-1799,1707 - Kötschach (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a1cee80f-f3ed-47f3-8662-f31f5f94d49b,
1700-1799,1708 - Bischwind (Germany),"Untraceable (real votive chapel — Maria Hilf, Bischwind — exists, but independent research could not confirm an actual documented Marian apparition beyond the founding thanksgiving-chapel legend; MiracleHunter link added this pass)",research_findings excluded 70acf033-c444-4d08-8c11-cbf623d52cab,
1700-1799,1709 - Forêt de la Madeleine (France),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded 5b53ee40-ac62-4271-bc14-c3800cf92ef9,
1700-1799,"1710 and on - Ovada, Castellazzo (Italy) — St. Paul of the Cross",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing),research_findings candidate fe24749a-72ba-4c02-826e-c9715573caf8,
1700-1799,1712 - Slowczk/Solovetsky (Russia),Not previously ingested — written as new lead this pass (medium confidence — monastery real and well documented; the specific apparition-to-a-monk claim was not independently corroborated beyond MiracleHunter's own account),research_findings lead bcfe249a-caed-4a29-988e-526628d03460,
1700-1799,1716 - Peterwardein/Petrovaradin,"Untraceable (real votive church — Our Lady of Snow, Petrovaradin — exists, but independent sources describe it as commemorating a battle-date coincidence with the Feast of Our Lady of the Snows, not a documented apparition; marian-sites tag removed and MiracleHunter link added this pass for consistency)",research_findings excluded 34be6a6e-a9de-4448-9b75-ffb085c70c87,
1700-1799,"October 1, 1711 - Valverde (Italy) — Paolo Ogna & Francesco Pellizzari","Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/it-rezzato-sanctuary-of-our-lady-of-valverde,
1700-1799,"August 18, 1713 and August 20, 1714 - Rubiana (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 2a7949e5-1c17-4b3a-af7d-08989c085fa1,
1700-1799,"August 14, 1715 - Sinj (Croatia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate dc555f9b-c6e7-4905-ab1b-e5b5f08b53dc,
1700-1799,"August 4, 1716 - Pellestrina (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f511a1da-5897-42ae-85f1-ad5cdcc36b20,
1700-1799,1716 - Mercatello sul Metauro (Italy) — St. Veronica Giuliani,"Queued for approval (cross-page duplicate: same visionary/tradition already logged on the 1600-1699 CSV as the ""1664-1727 Mercatello sul Matauro"" entry — Monastery of St. Veronica Giuliani, Città di Castello; MiracleHunter link already present from that pass; a separate stale ""no site found"" duplicate record for this same claim closed this pass)",research_findings candidate c35349df-7ae9-4f66-8b4d-261d2ebf8a35,veronica-giuliani
1700-1799,"July 2, 1717 - Lescure (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 983de713-e757-4d67-b10d-31068a92e369,
1700-1799,October 1717 - São Paulo (Brazil) — Our Lady of Aparecida,"Approved, in sites (MiracleHunter link added this pass — was missing; stale duplicate research_findings candidate closed)",https://orbisdei.org/site/br-aparecida-national-shrine-of-our-lady-aparecida,
1700-1799,Altenhohenau (Germany) — Columba Weigl,Not previously ingested — written as new lead this pass,research_findings lead b7634145-c16b-4b62-b1e2-7d0958e4b012,
1700-1799,"1722 - Persquen, Morbihan (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate cda56cb5-1c27-4687-b955-6d5deb80b0d8,
1700-1799,"July 9, 1722 - Maserada sul Piave, Treviso (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e3c6015e-5ff4-4790-9c12-8345d67fbf0f,
1700-1799,"May 14, 1729 and May 26, 1730 - Montagnaga di Pinè (Trento, Italy)",Queued for approval (cross-page duplicate: MiracleHunter itself cross-lists this apparition as Bishop Approved; already logged as a lead from that pass with dedicated MiracleHunter link; a duplicate candidate record from a generic Italy pass closed this pass),research_findings lead 8a0fbe44-f55a-4992-a974-c216fa361db9,
1700-1799,"1729 - Pine, Trentino Alto Adige (Italy)","Queued for approval (within-page duplicate of the ""Montagnaga di Pinè"" entry above — same sanctuary/founding tradition, MiracleHunter's own text gives two slightly different versions)",research_findings lead 8a0fbe44-f55a-4992-a974-c216fa361db9,
1700-1799,1737 - Neunkirchen (Austria),Untraceable (a genuine 15th-century Marienkapelle exists at Neunkirchen — renovated in 1737 — but no apparition or other qualifying Marian event could be independently corroborated for that year; MiracleHunter link added this pass),research_findings excluded 0c7de1f5-d8c7-4450-ab84-d44116d32466,
