Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
40-999,40 - Zaragoza (Spain),"Approved, in sites",https://orbisdei.org/site/es-zaragoza-cathedral-basilica-of-our-lady-of-the-pillar,"apostles,holy-persons,james-great"
40-999,ca. 48 - Ephesus (Turkey),Queued for approval (marian-sites tag added this pass — was missing),https://orbisdei.org/site/tr-ephesus-church-of-mary,
40-999,ca. 48 - India,"No specific site/structure cited by MiracleHunter (country only, no place named) — not trackable as a database site",,
40-999,81 - Patmos (Greece),Not previously ingested — written as new lead this pass,research_findings lead f8c5e40d-753b-4c40-a646-961439bda124,
40-999,105 - Kuravilangad (India),"Approved, in sites",https://orbisdei.org/site/in-kuravilangad-major-archiepiscopal-marth-mariam-archdeacon-pilgrim-church-at-kuravilangad,syro-malabar
40-999,231 - Neocaesarea (Turkey),Not previously ingested — written as new lead this pass,research_findings lead f7f207bd-962d-48cd-9224-143fa1a33f22,
40-999,"July 11, 250 - Le Puy en Velay (France)","Approved, in sites",https://orbisdei.org/site/fr-le-puy-en-velay-cathedral-of-our-lady-of-puy,camino
40-999,ca. 250 - Lenola (Italy),Not previously ingested — written as new lead this pass,research_findings lead ef88b1c8-bd31-4867-a581-7275e762d521,
40-999,"August 10, 258 - Rome (Italy)","Untraceable (MiracleHunter's own cited source calls this claim ""totally unverifiable,"" emerging only in the 4th century with no contemporary corroboration; the honoring basilica is real but not credibly tied to this specific claim — written as new excluded record this pass, consistent with the Fulda/St. Boniface precedent)",research_findings excluded 1babb94d-c8e8-42f0-867c-c0f6fbd4dda8,
40-999,ca. 300 - Edessa (Turkey),Not previously ingested — written as new lead this pass,research_findings lead 89f35064-3896-453c-b618-c0d6e4edadc4,
40-999,ca. 300 - Italy,"No specific site/structure cited by MiracleHunter (country only, no place named) — not trackable as a database site",,
40-999,305 - Alexandria (Egypt),"Untraceable (existing research already excluded this — the 19th-century cathedral is real and dedicated to St. Catherine in general veneration, but no source ties it to her specific, undocumented martyrdom site; marian-sites tag and MiracleHunter link added this pass — both were missing)",research_findings excluded 79ca17b7-2404-474c-bf2f-4bf9c205ac19,
40-999,325 - Myra (Turkey),Queued for approval (marian-sites tag and MiracleHunter source link added this pass — both were missing),research_findings candidate bed3a74c-36ed-4a03-8e26-2000a76a15ad,nicholas-myra
40-999,335 - Kuravilangad (India),"Approved, in sites",https://orbisdei.org/site/in-kuravilangad-major-archiepiscopal-marth-mariam-archdeacon-pilgrim-church-at-kuravilangad,syro-malabar
40-999,ca. 350 - Island of St. Nicholas (Italy),Not previously ingested — written as new lead this pass,research_findings lead 616ca495-ef56-48ec-8f57-4b0c48327147,
40-999,"August 4, 352 - Rome (Italy)","Approved, in sites",https://orbisdei.org/site/it-rome-papal-basilica-of-st-mary-major,"luke-evangelist,major-basilicas"
40-999,363 - Caesarea (Turkey),Excluded — no locatable/visitable site identified (per existing research; St. Basil's charitable complex survives only as unexcavated remains beneath a much later fortress),research_findings excluded 2d7faf70-d011-4e86-aaf6-c45a2ad710bf,basil-great
40-999,371 - Tours (France),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 973179d3-fbaf-4ad8-a14d-553a49977d15,
40-999,380 - Tagaste (Algeria),Not previously ingested — written as new lead this pass,research_findings lead e7ef5dd2-a901-4846-80fe-6ea630e1a2f4,
