Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1300-1399,ca. 1300 - Russia [Visionary: St. Abraham de Gorodetsk],"Excluded -- no locatable site identified (no specific hermitage or location named beyond ""a desert place"" in Russia; MiracleHunter source link added this pass)",research_findings excluded e68073c4-1b84-417a-a4fc-f87dc7674fd6,abraham-gorodetsk
1300-1399,"September 7, 1300 - Roverano (Italy)",Queued for approval (MiracleHunter source link added this pass),research_findings candidate a39ff810-aa83-47e7-814c-4ea049a90d1f,
1300-1399,"1301 - Laurignano (Italy) [Visionary: Simone Adami, a blind beggar]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 8380bdee-16a3-423e-a9bd-5520cb0f4595,
1300-1399,"1306 - Proceno, Lazio (Italy) [Visionary: St. Agnes of Montepulciano]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate 5b624931-d929-46e2-8112-6ed66df22e17,agnes-montepulciano
1300-1399,"1306 - Sant'Agata Feltria, Rimini, Emilia-Romagna (Italy) [Madonna del Soccorso]",Queued for approval (MiracleHunter source link added this pass),research_findings candidate a7c9a8d6-dd69-4703-b3cd-b8e93a87d6d1,
1300-1399,"1308 - Spoleto, Umbria (Italy) [Visionary: St. Clare of Montefalco]",Queued for approval (matched to the Sanctuary of St. Clare of Montefalco -- her actual convent/order name-place -- rather than Spoleto; MiracleHunter source link added this pass),research_findings candidate 9163bc23-670f-41fa-8d24-f1c291dd3671,clare-montefalco
1300-1399,"1308 - Finstad, Uppsala/Vadstena (Sweden) [Visionary: St. Bridget of Sweden]","Queued for approval (matched to Vadstena Abbey, the Brigidine motherhouse she founded; MiracleHunter source link added this pass)",research_findings candidate bc337cd1-c6a9-4fc3-9985-ffa0ab1f1991,bridget-sweden
1300-1399,"April 28, 1310 - Bergamo (Italy) [Visionary: a peasant, Madonna del Castagno]","Queued for approval (matched to a real, named candidate -- Sanctuary of the Madonna del Castagno, Bergamo -- found under a different run_region (a later-era pass, since MiracleHunter apparently lists a second apparition tradition at the same site); a stale duplicate exclusion under this page's own run_region was cleaned up and pointed here. MiracleHunter source link added this pass)",research_findings candidate 28b9eae2-6e95-4900-b762-416c62954d47,
1300-1399,"1310 - Florence (Italy) [Visionary: St. Alexis Falconieri, Servite]","Queued for approval (matched to the Sanctuary of Monte Senario, the Servite mountain retreat referenced in his biography, distinct from the Basilica of the Santissima Annunziata already logged for the 1233 founding apparition on the 1200-1299 era-page CSV; MiracleHunter source link added this pass)",research_findings candidate e9ef2181-e6d1-4774-a132-bbf3cdc1f7f1,servite-seven-founders
1300-1399,"1311 - Florence (Italy) [Visionary: Blessed Jordan of Pisa, refectory vision]","Excluded -- no locatable site identified (no convent is named beyond ""the fathers' refectory""; likely Santa Maria Novella but unconfirmed from MiracleHunter's text, so not assigned; MiracleHunter source link added this pass)",research_findings excluded 7a5683d2-195f-4a43-8d03-140549f57b27,
1300-1399,undated (same block as 1311 Florence) - Avignone/Avignon (France) [Visionary: Peter Favier],Excluded -- no locatable site identified (no specific building named for this deathbed vision; MiracleHunter source link added this pass),research_findings excluded 1863a628-49cc-4bc2-8d03-abde9c4ccb93,
1300-1399,"1316 - Avignon (France) [Visionary: James d'Euse / Pope John XXII, Sabbatine privilege]",Excluded -- no locatable site identified (historically significant tradition but no specific Avignon site named for the vision itself; MiracleHunter source link added this pass),research_findings excluded 5e8a5b1c-a691-4340-bb40-db2aa1513a05,
1300-1399,1322 - Constance (Germany) [Visionary: Bl. Henry Suso],"Excluded -- no locatable site identified (Suso's documented life centers on Cologne and Ulm, not Constance; his Ulm tomb was destroyed by 16th-century iconoclasts and never recovered, leaving no standing site tied to him today; MiracleHunter source link added this pass)",research_findings excluded b75178cf-54d1-4897-a36d-2906d09cb0ac,henry-suso
1300-1399,1325 - Montserrat (Spain) [Visionary: a mother],"Untraceable (Fulda-pattern: Holy Cave of Montserrat is a real, well-documented site, but independent web verification found no corroboration anywhere for a 1325 captive-son miracle -- every documented Montserrat legend/source covers only the 880 CE shepherds' discovery tradition. This claim is attested only by MiracleHunter itself. A MiracleHunter link had been added to the published site on the strength of this claim; removed this pass since it pointed to unrelated content the site itself does not document. No mention of this claim remains anywhere in the DB for this site -- description, tags, and links are all unaffected.)",https://orbisdei.org/site/es-collbato-holy-cave-of-montserrat,our-lady-of-montserrat
1300-1399,1326 - Asti (Italy) [Visionary: Bishop Guido],"Excluded -- no locatable site identified (MiracleHunter's own dedicated subpage, reached via its ""More about this apparition"" link, reveals this is the same Belmonte/King Arduino tradition already researched from the 1000-1099 era-page CSV -- Belmonte itself was not independently confirmable there as a distinct standing site, only the Turin/Sanctuary of the Consolata component was. Exclusion reason corrected and the genuine dedicated MiracleHunter link added this pass -- the previous reason cited only garbled summary-table text and had not consulted the dedicated subpage)",research_findings excluded 3c5d23e3-ab4d-4d73-ad1b-f08a2ded9bc2,
1300-1399,"1326 - Caceres (Spain) [Visionary: Gil Cordero, Our Lady of Guadalupe]",Queued for approval (genuine dedicated MiracleHunter subpage link added this pass -- was missing),research_findings candidate 77f430c8-f2d5-4c6a-bd2d-1816dc5759f7,
1300-1399,"1326 - Moscow (Russia) [Visionary: Saint Peter, Metropolitan of Moscow]","Queued for approval (matched to the Dormition Cathedral, Moscow Kremlin; MiracleHunter source link added this pass)",research_findings candidate 76222c89-8a7e-47fc-81c3-ce2427ba2c1e,peter-metropolitan-moscow
1300-1399,1328 - Fiesole and Florence (Italy) [Visionary: St. Andrew Corsini],Queued for approval (genuine dedicated MiracleHunter subpage link added this pass -- was missing),research_findings candidate 9099cd1e-d546-48c0-9759-3bebb34d3484,andrew-corsini
