Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1400-1499,c. 1400 - Deir Al-Maghti / Al-Magtas (Egypt),"Excluded — no locatable site identified (MiracleHunter source link added this pass — was missing)",research_findings excluded 98b9f7f8-01e9-4547-992d-419754b7ebc6,
1400-1499,c. 1400 - Macerata (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 70d36057-b72c-43d5-bab5-50ec91dc2a9e,
1400-1499,c. 1400 - Casal Santa Maria (Portugal),"Excluded — no locatable site identified (marian-sites tag and dedicated-subpage MiracleHunter link added this pass — both missing)",research_findings excluded 4d731667-bd67-45fa-858c-7bd617f5ba8e,
1400-1499,c. 1400 - Bettola (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9268e9bf-6104-4fad-bfd8-9a7b25706fb1,
1400-1499,c. 1400 - Albendorf (Poland),"Queued for approval (same site as MiracleHunter's own 1200-1299-page ""Albendorf"" listing — cross-page duplicate tradition; MiracleHunter link already present from a prior pass)",research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1400-1499,c. 1400 - Airola / Sesta Godano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 7ac0b421-b231-4d83-b86e-d82e82a244e0,
1400-1499,1400 - Selvino (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded c0f1f281-ba3f-4a46-bb09-f7f900d39342,
1400-1499,1407 - Maria Waldrast (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c3b7ef61-c522-4271-9811-64a99b315e04,
1400-1499,1413 - Schiedam (Holland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8c81bcdb-82a1-4ef1-9ea3-f7655ff69bb7,
1400-1499,"1417 - Siena, Tuscany (Italy)","No specific site/structure cited by MiracleHunter — not trackable as a database site (claim is tied to St. Bernardino generally, not a named structure)",,
1400-1499,"Jan 3, 1417 - Albano Sant'Allessandro, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate bf4e6140-7a5f-4865-9236-acccc9d91868,
1400-1499,"July 2, 1420 - Castel di Godego (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f54498eb-7f26-4a7e-b700-69fbd9d1fae8,
1400-1499,"Sept 8, 1420 - Cordoba (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4165e65e-92dc-4da9-9faa-03c177ed7cba,
1400-1499,"1420 - Faenza, Emilia Romagna (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 25d3b7aa-939d-4407-93ce-c3e1b6ef63ae,
1400-1499,1422 - Cesi (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4a1aed38-b77a-40fe-9933-5544022ddb91,
1400-1499,1424 - Domremy (France),"Approved, in sites (no MiracleHunter link added — MH's own text names no structure or location beyond the visionary's name; a MiracleHunter link was mistakenly added to all three related sites this pass and then retracted on review)",https://orbisdei.org/site/fr-domremy-la-pucelle-basilica-of-bois-chenu-basilica-of-st-joan-of-arc,"joan-arc, michael-archangel"
1400-1499,"March 7,1426 - Monte Berico (Italy)",Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate b2854cff-79f6-47c4-a291-88416d6c79d9,
1400-1499,May 1428 - Monteortone (Italy),Not previously ingested — written as new lead this pass,research_findings candidate 31c71950-7ce8-423f-8adf-fc33f48085f8,
1400-1499,"May 20, 1428 - Stia (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 705167fc-694a-4721-bf99-dd7f68555d63,
1400-1499,1429 - Penafrancia (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 0554454d-8ea0-4906-bfa1-d08bfa8168a5,
1400-1499,"1430 - Jaén, Andalucia (Spain)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a4ead917-3e24-46ec-a5f0-d557c44084e8,
1400-1499,"May 26, 1432 - Caravaggio, Lombardy (Italy)",Queued for approval (dedicated-subpage MiracleHunter link added this pass — was missing),research_findings candidate ad561c82-2c8f-4705-8a1a-48179f631ee2,
