Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1000-1099,1000 - Auxerre (France),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name),research_findings excluded 5e29885e-27d9-48eb-88c1-f3b698e21520,
1000-1099,1000 - Clermont-Ferrand (France),Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name),research_findings excluded 22f8b5db-044c-46e5-97e3-75a0a22c0251,
1000-1099,"May 1000 - Montefortino, Marche (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e46ad4f0-b412-49b2-89de-b16540aa5978,
1000-1099,ca. 1000 - Monte Carpegna (Italy),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 4bab786f-d333-4707-a49e-2054cb4ce9af,
1000-1099,"April 26, 1001 - Borgo Incoronata (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate 05a4526d-d519-4956-bc6a-39e061232f21,
1000-1099,1002 - Cologne (Germany),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate d9774e89-f747-4d65-8cde-1df0ed1db1f0,
1000-1099,1008 - Valenciennes (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 89646fa8-3285-4609-8286-117bc78a7df0,
1000-1099,"1016 - Ivrea, Piemonte (Italy)",Excluded — no locatable site identified (per existing research; only the related Turin/Consolata foundation from the same Arduino legend is independently confirmed — covered separately below),research_findings excluded eda2865b-d66d-4ac2-a9f6-247f820ca5d6,
1000-1099,1025 - Montserrat (Spain),"Untraceable (1025 is Montserrat Abbey's founding year, not an apparition date — no source documents a vision in that year or names a ""mother"" visionary; the site's actual, well-documented Marian legend is the shepherds' 880 CE discovery of the statue. MiracleHunter's entry appears to conflate the two. The Holy Cave site itself is real and legitimately Marian — marian-sites tag and a MiracleHunter link were added this pass on that basis — but crediting it for this specific 1025 claim is not supported)",https://orbisdei.org/site/es-collbato-holy-cave-of-montserrat,our-lady-of-montserrat
1000-1099,1026 - Champagne (France),"Excluded — no locatable site identified (per existing research; a dream-vision with no location tied to any building; her son St. Robert's later foundations at Molesme/Cîteaux are a separate, already-covered topic)",research_findings excluded 2fc2d400-63b4-4531-a85c-b6869738f2ba,ermengarde
1000-1099,1026 - Chartres (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 5bd7e749-1cf4-4e7e-bc57-be8d604f1d6c,
1000-1099,"1038 - Valverde, Sicily (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate e3a1e256-af5e-47e2-928d-196338cef836,
1000-1099,1041 - Nocera Superiore (Italy),Queued for approval (MiracleHunter source link added this pass — was missing),research_findings candidate c5097642-2a78-4aaa-a51a-7026f41abf9e,
1000-1099,1050 - Sopetrau (Spain),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate f1522e93-5376-4f28-a037-62890718cf0e,
1000-1099,1060 - Cluny (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate a742d480-fc9b-4249-b508-717c9f81a0fe,
