Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1800-1899,July 1803 - Villanova d'Asti (Italy),Queued for approval,research_findings candidate b4d7d9e6-9dec-47f6-8825-e4559cfb4c80,
1800-1899,1807 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead 063b0fcb-b9e6-4758-be1e-a6e95de213dc,
1800-1899,1806 - GRUSHEV (UKRAINE),Not previously ingested — written as new lead this pass,research_findings lead 4358b6e2-a60b-4f8a-9605-dcba436b7bbd,
1800-1899,1813 - Leipzig / Lichen (Poland),"Approved, in sites (duplicate MiracleHunter table row citing the same Lichen sanctuary as idx 37 below (2nd apparition tradition at same site); MiracleHunter link on this record was previously misdirected to Gietrzwald's page -- corrected this pass)",https://orbisdei.org/site/pl-lichen-sanctuary-of-our-lady-of-lichen,
1800-1899,1820 - Lescouët-Gouarec (FRANCE),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate c201c1a4-3371-425a-995a-3996989734e1,
1800-1899,Feb 1821 - Tinos (Greece),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 45a9a0c5-92f5-4274-8d07-1fdefcdcf661,
1800-1899,1821 - Vallecorsa (Italy),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 142207c8-479c-4fc7-8751-8362d0950a3c,
1800-1899,1829 - Sallent (SPAIN),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate dee62819-623a-4377-a1fd-c6907880d7be,
1800-1899,1830 - MIMBASTE (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 6ec93982-f546-4aa1-a4b8-ea664d9dd147,
1800-1899,"1830 - Rue du Bac, Paris (France)","Approved, in sites",https://orbisdei.org/site/fr-paris-chapel-of-our-lady-of-the-miraculous-medal,"St. Catherine Laboure, DC; St. Louise de Marillac, DC; St. Vincent de Paul, CM; Holy Persons"
1800-1899,1833 - Bous-Septfontaines-CLAIRE FONTAINES (FRANCE),Not previously ingested — written as new lead this pass,research_findings lead 81690de5-5ab1-4dab-82e8-dec097ffb561,
1800-1899,1835 - TRINITAPOLI (Apulia),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 97e241bf-85c8-42c0-800c-5647f023766c,
1800-1899,1831 - Laurignano (Italy),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 8380bdee-16a3-423e-a9bd-5520cb0f4595,
1800-1899,"Aug 31, 1831 - Guadalajara (Spain)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 4dd033a0-b385-40a1-90ad-32daac933872,
1800-1899,1833 - Capriana (Trentino Alto Adige),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 3b49f855-a87e-43e3-b759-32f77bd1c0d4,
1800-1899,"Aug 2, 1834 - Valmala (Italy, Piemonte, diocese of Cuneo)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 7ed8f054-e81a-4d60-b109-d70eb1e49b77,
1800-1899,1836 - Paris (France),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 25b21517-8a0e-45f6-b50d-f8727a461efe,
1800-1899,1836 - Siena (Italy),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 94b5e036-0b85-4d99-8d95-0a5f3277131d,
1800-1899,1837 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead 50475f8b-b3cb-407f-92a8-683b7ece3e6a,
1800-1899,"August 6, 1839 - Casnigo (Italy)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate b5529365-e6e8-4a7a-bc7c-13166d0509d5,
1800-1899,"Jan 28, 1840 - Blangy-Versailles (France)",Not previously ingested — written as new lead this pass,research_findings lead b9a5a0cb-4b0d-41dc-9cbd-001cb7324ff7,
1800-1899,1840 - Ars (France),Queued for approval,research_findings proposed_modification c675eedf-1e0e-4732-9dc8-c740e12305cd,john-vianney
1800-1899,"Dec 29, 1840 - NANTES (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded d664ebbe-69ea-4333-86d4-4907bd0e8331,
1800-1899,1840 - GRAZ (AUSTRIA),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9660d685-a080-4904-8af1-2d72a637477f,
1800-1899,1841 - Montana (USA),Not previously ingested — written as new lead this pass,research_findings lead 5b60285a-ffa7-446e-99a5-ec9562a354a6,
1800-1899,"Jan 20, 1842 - Rome (Italy)","Approved, in sites",https://orbisdei.org/site/it-rome-santandrea-delle-fratte-st-andrew-of-the-thickets,"maximilian-kolbe; Fr. Marie-Alphonse Ratisbonne, NDS"
1800-1899,1842 - Celles (Belgium),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded c2e59f25-aa10-408b-82ab-988a9918340e,
1800-1899,1844 - Tours (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 415db9b2-cd44-4232-abc4-37c0d437c989,
1800-1899,"Sept 19, 1846 - La Salette (France)","Approved, in sites",https://orbisdei.org/site/fr-la-salette-fallavaux-sanctuary-of-our-lady-of-la-salette,
1800-1899,1846 - Turin (Italy),Not previously ingested — written as new lead this pass,research_findings lead 26646c4f-2102-4bdc-b752-3e3611ed244d,
1800-1899,"March 10, 1848 - La Chaudiere (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead a44c489b-8404-4217-8ebb-45f76d50a177,
1800-1899,"May 12, 1848 - Obermauerbach, Bayern, (Bavaria)",Not previously ingested — written as new lead this pass,research_findings lead 9d869812-8940-4c7f-91e0-329a50a2b32e,
1800-1899,"May 4, 1848 - Brette (France)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded b7d03757-11f5-4c98-a579-f407b12b872b,
1800-1899,"1848 - Montoussé, Hautes-Pyrenées (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 6addacf4-27bf-49ff-8346-f12fd5076081,
1800-1899,1849 - Chambéry (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 4bbab6d3-b08b-4355-817a-5a7a53a3feb3,
1800-1899,"June 17, 1849 - MARIA DOLINA, Poggersdorf / Kamten (Austria)",Not previously ingested — written as new lead this pass,research_findings lead f46d9855-1715-4867-a048-285cb7c2bf2f,
1800-1899,c. 1850 - Saint John of Acre / Akko (Israel),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded a596e9fb-569d-410e-bf2a-7933a5d05d16,
1800-1899,1850 - Lichen (Poland),"Approved, in sites (duplicate MiracleHunter table row citing the same Lichen sanctuary as idx 3 above (2nd apparition tradition at same site))",https://orbisdei.org/site/pl-lichen-sanctuary-of-our-lady-of-lichen,
1800-1899,April 1850 - VATICAN CITY,No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1800-1899,1851 - Savongo (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass; exclusion_reason flags this as likely a mistaken duplicate reference to the Valmala sanctuary (see 1834/idx 15)),research_findings excluded 734add07-20f5-4494-a7b3-eb8589848023,
1800-1899,"May 19, 1853 - Cerreto, Tuscany (Italy) (Tuscany, Diocese of Pitigliano)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 91479426-debf-49ba-a810-712768e7189a,
1800-1899,1854 - LA PIERRAZ (SWITZERLAND),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 5a3879c9-6bb9-4fef-8035-2780cb5b4281,
1800-1899,"September 8, 1855 - PORZUS DEGLI SLAVI (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 358383a5-6c5a-4e0b-bdbb-96a897945faa,
1800-1899,"June 24, 1855 - Bordeaux (France)",Not previously ingested — written as new lead this pass,research_findings lead 7d693676-7301-441c-9c7b-3278397b26e9,
1800-1899,"1855 - BuuChau, QuangNam (Vietnam)",Not previously ingested — written as new lead this pass,research_findings lead 4fb8cad5-27e7-4be0-b837-5d0017392ce5,
1800-1899,1856 - Spoleto (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass; a related but distinct 1861-1862 San Luca di Montafalco claim is now separately entered as a lead (see below)),research_findings excluded 0a75f51c-cc75-4bfd-b4db-119b182be5e1,
1800-1899,"1856 - Assisi, Umbria (Italy)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 49aa115a-deac-42b2-867c-08285b04cde7,
1800-1899,"June 1856 - Orere, Liguria (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 67875537-f8d5-4e2b-bbc8-bed6f3dda1a9,
1800-1899,May 1857 - TORRAZZA (ITALY),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded df3bbcdd-feb4-4b50-ab05-f21423ed3ef7,
1800-1899,"September 18, 1858 - Abellin (PALESTINE)",Not previously ingested — written as new lead this pass,research_findings lead 1425e3d8-46a8-4876-a771-ed630a008c54,
1800-1899,"Feb 11 - July 16, 1858 - Lourdes (France)","Approved, in sites",https://orbisdei.org/site/fr-lourdes-sanctuary-of-our-lady-of-lourdes,"St. Bernadette of Lourdes, SCN; Holy Persons"
1800-1899,"1859 - Arnaud-Guilhem, Haute-Garonne (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 939552da-3a37-414e-ab92-4d29aa1a9032,
1800-1899,"1859 - Robinsonville, WI (USA)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate c82dbbcf-1e92-4176-bec5-1233dd44bc87,
1800-1899,1859 - Rosenau (AUSTRIA),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 0309d9a4-df83-4b3f-a3b8-e480fe925ec1,
1800-1899,1859 - Madhu (Sri Lanka),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 89118529-59a5-4bb1-810f-cedd4cc9fd41,
1800-1899,"April 20, 1860 - Andlau (FRANCE, Alsace, Basso Reno, diocese of Strausberg)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 85fd945b-11e2-4e33-833a-f650b74bcf8f,
1800-1899,"September 6, 1860 - FRANCOULES (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead 32568ed3-abd9-4402-b022-6663249cdecb,
1800-1899,1861 - San Luca di Montafalco / Spoleto (Italy),Not previously ingested — written as new lead this pass,research_findings lead 6f900e6a-aa33-4562-8ccd-3fa67c874953,
1800-1899,1863 - Anglet (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 3e35c609-5a83-439b-8165-bd5ba78caca6,
1800-1899,"January 13, 1865 - PETIGNY (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 83c00329-1200-4895-826b-50197deb7d4b,
1800-1899,1865 - Chambery (France),Not previously ingested — written as new lead this pass,research_findings lead 3e34099a-9578-4fcc-b107-6c1fcac9d11d,
1800-1899,1865 - ILAC (CROATIA),Not previously ingested — written as new lead this pass,research_findings lead 14e1c03d-f287-4e9c-923c-c77b94ab48d6,
1800-1899,"January 13, 1866 - Filippsdorf (Czech Republic)",Not previously ingested — written as new lead this pass,research_findings lead 0ec7d7b4-422f-4108-b249-fd0d8f528b84,
1800-1899,"January 25, 1867 - Kirchdorf (AUSTRIA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ff76ef33-2336-429a-92e2-d318eeee5c90,
1800-1899,"April 15, 1868 - Bois d'Haine (Belgium)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 998baafb-d217-41d0-bca2-b3de6a3d69d9,
1800-1899,"1869 - Tsuwano, Japan","Approved, in sites",https://orbisdei.org/site/jp-tsuwano-otometoge-st-marys-chapel,Hidden Christians; Japanese Martyrs
1800-1899,1869 - Potay-Loigny (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 29ffdc1e-1c8e-4628-9323-38db78676805,
1800-1899,"November 9, 1870 - Metz (France)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 85ea3924-8f54-4f3d-9cbb-df429d888eb3,
1800-1899,"November 20, 1870 - NANCY (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9b3bd4e2-3eca-4bcb-a63f-72afe99fb5fb,
1800-1899,"April 10, 1870 - WALSCHBRONN (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9415645b-8f62-4f83-83f6-1489f5752254,
1800-1899,1870 - EUPEN (BELGIUM),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded aa625ecf-8914-4145-b4ca-cd4cc8314edf,
1800-1899,1871 - Pontmain (France),"Approved, in sites (MiracleHunter link on this record had a stray trailing ')' in the URL -- corrected this pass)",https://orbisdei.org/site/fr-pontmain-basilica-of-pontmain,
1800-1899,"1871 - Innsbruck , Locherboden (Austria)",Queued for approval,research_findings candidate 4ce55b12-a72f-41d2-8747-c734ec8419be,
1800-1899,"April 4, 1871 - Lausanne, CHAPPELES (Switzerland)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 6d53064c-d652-4d04-9374-2b63f8600d20,
1800-1899,"December 5, 1871 - PARIS (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead bc1244d7-fea9-4701-b007-2d3c78b65c61,
1800-1899,"August 25, 1871 - St. Louis, MO (USA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ac52d07d-ec81-4a8f-9f03-db29ae4a4034,
1800-1899,1872 - L'Hospital (France),Not previously ingested — written as new lead this pass,research_findings lead 131bea4b-86b0-4f27-b2ac-67e0c4aaa83e,
1800-1899,"July 7, 1872 - NEUBOIS (FRANCE)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate e8feb0ff-82bb-4b18-8c87-c20c86a3295c,
1800-1899,"February 14, 1872 - POUILLE-les-Coteaux (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead e2c67880-1c98-4441-a728-8e0beca42943,
1800-1899,"February 18, 1873 - PARIS (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead a7c849f7-0d82-4496-9827-b22de265f55a,
1800-1899,"February 22, 1873 - Blaine / La Fraudais (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 75fa9ddb-a93d-4fe1-ae08-b3fa36804ad2,
