Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1500-1599,"c. 1500 - Almonacid de Toledo, Castiglia (Spain)",Excluded — no locatable site identified,research_findings excluded 67f1bdec-7d7f-4413-9818-198203e53743,
1500-1599,"c. 1500 - Dolní Dvonste, Cesky Krumlov, South Bohemia (Czech Republic)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8a86bd7d-dd35-4c1b-8e26-5074241e2d8b,
1500-1599,c. 1500 - Vedano al Lambro (Italy),"Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; entry's own ""More about this apparition"" link uses slug ""valverde"")",research_findings candidate c652c80b-cd9e-46bf-8b72-124c645615d6,
1500-1599,c.1500 - Pannesi di Lumarzo (Italy),Excluded — no locatable site identified,research_findings excluded df7454ba-b0b1-4b9d-ab68-1286702c4cb6,
1500-1599,1500 - San Sosti (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f26dec0e-4038-4bb4-82fd-6fb5a84c182d,
1500-1599,1500 - Wethenstein (Switzerland),"Queued for approval (MiracleHunter link added this pass — was missing; same site as the 1518 and 1553 ""Wethenstein"" entries below, one physical site/candidate, three MiracleHunter rows)",research_findings candidate ed0df07c-10cb-41eb-9df2-c5280d2dc0d9,
1500-1599,"Dec 18, 1503 - Villarrasa, Huelva, Andalucia (Spain)",Excluded — no locatable site identified,research_findings excluded e97009db-3fd8-421a-92f3-9298d1026679,
1500-1599,1503 - Trino (Italy),Excluded — no locatable site identified,research_findings excluded 16e39da1-84b3-4370-83f2-3a2a428dfe9d,maddalena-panattieri
1500-1599,"Sept 29, 1504 - Tirano (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 2b6ca0c1-b369-4467-b899-8b0542755627,
1500-1599,"June 9, 1505 - San Polo (Italy)",Excluded — no locatable site identified,research_findings excluded e8c486bd-b17f-4f32-bdec-0ef9156c3579,
1500-1599,"July 2, 1505 - León, Castile and León (Spain)","Queued for approval (MiracleHunter link added this pass — was missing; matched via basilica's dedication title ""Virgen del Camino,"" not the place name)",research_findings candidate e77a3924-b865-4881-bc91-a6ffe2e9ed10,
1500-1599,1508 - Chiogga (Italy),Excluded — no locatable site identified,research_findings excluded 54fb3036-988d-4175-a40b-01b6304a19e7,
1500-1599,"March 19, 1509 - Villefranche-de-Rouergue, Aveyron (France)",Excluded — no locatable site identified,research_findings excluded 0b53eb0e-0834-4813-b2b9-9af0ed5ac301,
1500-1599,"March 9, 1510 - Motto di Livenza (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 4c7da806-e330-4505-a1f3-697ebc47187f,
1500-1599,"April 28, 1510 - Bergamo (Italy)","Queued for approval (cross-page duplicate: same candidate record already cited on the 1300-1399 CSV as the 1310 Bergamo/Madonna del Castagno entry, which carries the MiracleHunter link)",research_findings candidate 28b9eae2-6e95-4900-b762-416c62954d47,
1500-1599,"Sept 8, 1510 - Aviano (Italy)",Excluded — no locatable site identified,research_findings excluded 543b6d36-59ec-4adc-a9da-3ae35644e43f,
1500-1599,"May 1511 - Castelleone, Lombardy (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 3f5d599f-3436-40a7-b5ea-2d2be216904b,
1500-1599,1511 - Treviso (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c72c272e-4e63-44ce-aefd-78c9029a72f2,jerome-emiliani
1500-1599,1512 - Albendorf (Poland),"Queued for approval (cross-page duplicate: MiracleHunter's own 1200-1299 page also lists an ""Albendorf"" entry — same Wambierzyce candidate, already MiracleHunter-linked from an earlier pass)",research_findings candidate 090b6e2c-090d-4c10-ab2e-eaa8a4581d07,
1500-1599,"July 2, 1512 - Oneta (Italy)",Excluded — no locatable site identified,research_findings excluded af539b22-7af0-49f7-a8ff-092ccf46c1ce,
1500-1599,"Aug 14, 1512 - Strugnano (Italy)",Excluded — no locatable site identified,research_findings excluded 160a0dcf-6115-434d-a2ae-e7c4b067dfbc,
1500-1599,"April 12, 1514 - Liveri di Nola (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 69069a24-3c35-485b-aec5-cd4ffef9d732,
1500-1599,1515 - Garaison (France),Queued for approval,research_findings candidate 373ee078-af13-4c7a-a30b-bd707b13511e,
1500-1599,"Dec 25, 1516 - Rome (Italy)",Excluded — no locatable site identified,research_findings excluded e1f6af91-3ad8-49be-907c-2323e64e70ac,cajetan-thiene
1500-1599,1518 - Wethenstein (Switzerland),"Queued for approval (same site as the 1500 entry above — one candidate record, one row each per page convention)",research_findings candidate ed0df07c-10cb-41eb-9df2-c5280d2dc0d9,
1500-1599,"July 2, 1518 - Camogli (Liguria, diocese of Genoa, Italy)",Queued for approval,research_findings candidate 5ea7d5d8-ff16-4f6b-a180-3928dbcc31b8,
1500-1599,"July 8, 1519 - Adro, Brescia (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fc256c4b-1e47-4440-983f-2323ea39a67a,
1500-1599,"August 10, 1519 - Catignac, Mont Vardaille (France)",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; entry names Cotignac in its own text),research_findings candidate 0d965ccd-e23c-4613-a831-3640b0b4290e,
1500-1599,1520 - Aberdeen (Scotland),Excluded — no locatable site identified,research_findings excluded 1a76c4c9-043c-4464-a114-66be38fdd933,
1500-1599,1520 - Tarbes (France),Excluded — no locatable site identified,research_findings excluded 940249eb-7b69-478b-a86c-a3ba0dc2a17c,
1500-1599,"May 4, 1521 - Cori (LT) (Italia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b6ab8a5e-6e80-4508-8146-5b6778364300,
1500-1599,1522 - Manresa (Spain),"Approved, in sites (marian-sites tag and MiracleHunter link both added this pass — were missing; site was tagged only ignatius-loyola)",https://orbisdei.org/site/es-manresa-cave-of-st-ignatius,ignatius-loyola
1500-1599,1523 - Quintanar de la Orden (Spain),Excluded — no locatable site identified,research_findings excluded 8e63ee14-8d72-4d4a-abcb-610527b09a2a,
1500-1599,"May 22, 1527 - Bovegno (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b81ba805-85f2-4879-af73-5f34bf6dcb98,
1500-1599,1529 - Sens (France),Excluded — no locatable site identified,research_findings excluded 256b4523-c229-42f4-addf-1a3bdf4ba496,
1500-1599,"Oct 11 and 23, 1529 - Gubel (Switzerland)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 73a55b3e-2180-4b55-9edf-2e42526709b5,
1500-1599,June 1529 - Naples (Italy),Excluded — no locatable site identified,research_findings excluded 36cb66c4-36b3-4481-a409-e6c25318b5c6,
1500-1599,1531 - Guadalupe (Mexico),"Approved, in sites",https://orbisdei.org/site/mx-mexico-city-basilica-of-our-lady-of-guadalupe,"holy-persons, juan-diego"
1500-1599,"May 18, 1531 - Wesemlin, Lucerne (Switzerland)",Queued for approval,research_findings candidate 0500a565-9e84-45c1-aea5-0e6233f545dd,
1500-1599,Aug 1532 - Paitone (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ae593484-6090-4eca-9173-543a52206e8b,
1500-1599,1527 or 1532 - Ipswich (England),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 41ab5c31-83bc-48d7-b49c-02669aea8a68,
1500-1599,1535 - Peru,No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1500-1599,"1535 - Altkirch, Alazia (France)","Not previously ingested — written as new lead this pass (lower confidence — MiracleHunter's own text names no discrete structure beyond ""the bastion of the city""; a Fontaine de la Vierge monument in the town center commemorates a Marian tradition, but its link to this specific 1535 claim could not be independently confirmed. Flagged for review.)",research_findings lead f35ed74f-aa09-4093-a7f4-d16a909d7973,
1500-1599,"March 16, 1536 - Savona (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c03f840c-31aa-4cf7-a293-5abfa3ae1b63,
1500-1599,"May 23, 1536 - Cuzco (Peru)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate ae7cf3f3-be26-417f-b36e-8d1d5b17cbae,
1500-1599,"May 31, 1536 - Monte Stella (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 95917e3e-822e-4769-9891-c0d145e136f3,
1500-1599,"July 11, 1536 - Combarbio (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate b87aa442-d03d-47b0-8d40-a4ee2d683085,
1500-1599,"May 20, 1537 - Farigliano, Cuneo, Piedmont (Italy)",Excluded — no locatable site identified,research_findings excluded 8586893b-9630-41b3-b7a4-efe308224f9b,
1500-1599,Spring 1539 - Sveta Gora (Slovenia),"Approved, in sites (stale duplicate research_findings candidate row marked duplicate this pass, pointing here)",https://orbisdei.org/site/si-solkan-basilica-of-the-holy-mother-of-god-sveta-gora,
1500-1599,"1539 - Gorizia, Fruili (Italy)","Approved, in sites (same apparition as the ""Spring 1539 Sveta Gora"" entry above — same shepherdess and message, cross-referenced within this page, no new work; Sveta Gora sits in the historic Gorizia district)",https://orbisdei.org/site/si-solkan-basilica-of-the-holy-mother-of-god-sveta-gora,
1500-1599,1541 - Ocotlan (Mexico),"Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing; a duplicate candidate row for the same shrine — Sanctuary of Our Lady of Ocotlán, id 438e73f5 — was found and marked duplicate this pass, pointing here)",research_findings candidate c251a2ee-9b55-422d-a21b-bd2d24c8ac83,
1500-1599,1543 - Lowen (Belgium),Excluded — no locatable site identified,research_findings excluded 2906b1cb-e58f-4464-b2b6-4fd811657140,
1500-1599,"March 28, 1543 - Ameno (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 54db80b7-6757-463e-a279-0404bae2caef,
1500-1599,May 1543 - Cantu' (Italy),Excluded — no locatable site identified,research_findings excluded add48152-35ba-47b2-8f19-cbd393d956fe,
1500-1599,1544 - Andacollo (Chile),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e2a4dc1f-9f82-40c5-ba91-90e2cbd70e20,
1500-1599,"June 25, 1548 - Montegridolfo, Rimini, Emilia-Romagna (Italy)",Excluded — no locatable site identified,research_findings excluded 7150230e-6a14-474d-80b8-d1fc73d6dd8b,
1500-1599,"February 22, 1550 - Castel San Pietro Terme, Bologna, Emilia Romagna (Italy)","Queued for approval (MiracleHunter link added this pass — was missing; duplicate of the ""Feb 22, 1550 Castel San Pietro"" entry further below — one candidate record, two MiracleHunter rows)",research_findings candidate 7474e461-0a0f-4b16-8588-2b7db8618e8f,
1500-1599,1553 - Wethenstein (Switzerland),"Queued for approval (MiracleHunter link added this pass — was missing; corrected match: this row's own detail text is a different shrine from the 1500/1518 ""Wethenstein"" entries above -- Maria Weissenstein / Pietralba, Nova Ponente, South Tyrol, Italy -- despite the same misleading place-name label MiracleHunter gives all three rows)",research_findings candidate 8b40714f-f954-4950-929c-4a016abf5c6e,
1500-1599,"July 2, 1557 - Rapallo (Italy)","Not previously ingested — written as new lead this pass (within-page duplicate of the ""July 2, 1557 Rapallo - OR - Montallegro (Sicily)"" entry further below — same apparition, one lead written)",research_findings lead 39462550-2f60-4bb0-bc33-1467fd05d096,
1500-1599,"March 25, 1560 - Fronville (France)",Not previously ingested — written as new lead this pass,research_findings lead c74bd2c4-00ce-4b4b-a568-c415f0379a57,
1500-1599,1550 - Vailankanni (India),"Approved, in sites",https://orbisdei.org/site/in-velankanni-basilica-of-our-lady-of-good-health,
1500-1599,"Feb 22, 1550 - Castel San Pietro (Italy)","Queued for approval (duplicate of the ""February 22, 1550 Castel San Pietro Terme"" entry above — same candidate record)",research_findings candidate 7474e461-0a0f-4b16-8588-2b7db8618e8f,
1500-1599,"Sept 8, 1550 - Azay-on-Thouet (France)",Not previously ingested — written as new lead this pass,research_findings lead a26f27e4-ef35-4f46-b1bc-0a4f299fdaf9,
1500-1599,"April 17, 1555 - Corbetta (Italy)",Not previously ingested — written as new lead this pass,research_findings lead c75bfc84-7892-4096-ac50-cdc05922788d,
1500-1599,1556 - Civitella (Italy),No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1500-1599,"May 21, 1556 - Arcola (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 19699276-68a1-4a8f-8bb7-3dfd0b55e983,
1500-1599,"Apr 22, 1557 - Guilianova (Italy)",Not previously ingested — written as new lead this pass,research_findings lead d7463f00-d922-42da-b6c8-f8b639c658f2,
1500-1599,"July 2, 1557 - Rapallo (Italy) - OR - Montallegro (Sicily)","Not previously ingested — written as new lead this pass (within-page duplicate of the ""July 2, 1557 Rapallo"" entry above — same apparition, same lead)",research_findings lead 39462550-2f60-4bb0-bc33-1467fd05d096,
1500-1599,1557 - Brescia (Lombardy),Excluded — no locatable site identified,research_findings excluded 86d095e8-6db5-477f-ad21-75d3d1477620,
1500-1599,"July 1, 1558 - Gerosa (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 50195650-cb91-4664-819a-f4c1a74238a5,
1500-1599,1560 - Cordoba (Spain),Excluded — no locatable site identified,research_findings excluded dca8a71d-e49f-42e0-8f75-8bd60bf2de86,
1500-1599,"May 31, 1562 - Petrella (Italy)",Excluded — no locatable site identified,research_findings excluded 320417ca-fc77-45c6-966a-b141841dc72e,
1500-1599,"June 26, 1562 - Moncrivello (Italy)",Excluded — no locatable site identified,research_findings excluded c664df69-e831-4792-98b6-09b59c8f6050,
1500-1599,1562 - Arenas (Spain),Excluded — no locatable site identified,research_findings excluded f8288ae4-dd53-4ad8-a531-86de1909d785,peter-alcantara
1500-1599,1563 - Avila (Spain),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fcd3b6d3-9b49-4410-ab43-2b0a152bd958,teresa-avila
1500-1599,1564 - Torrehermosa (Spain),Excluded — no locatable site identified,research_findings excluded 1a0d6c6d-373c-4f38-88d8-72ac8ecd99a6,paschal-baylon
1500-1599,"1566 - Forli, Emilia Romagna (Italy)",Excluded — no locatable site identified,research_findings excluded 45b9074a-c9a0-4979-b5b4-f35256001592,
1500-1599,1567 - Vienna (Austria),Excluded — no locatable site identified,research_findings excluded 9c5bf3aa-3835-467f-93af-a78f0d8c1fa4,stanislaus-kostka
1500-1599,1570 - Pistoia (Tuscany),Excluded — no locatable site identified,research_findings excluded 164735a5-4d1c-4b3a-9504-2192e2b9fcd3,
1500-1599,"April 7, 1569 - Tauste, Zaragoza (Spain)",Excluded — no locatable site identified,research_findings excluded b549a809-4065-4f12-b512-a263a9d67b30,
1500-1599,1570 - Trujillo (Venezuela),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 202405c2-63e3-4e74-9922-c42da06a87aa,
1500-1599,"Aug 15, 1572 - Caltagirone (Italy)",Excluded — no locatable site identified,research_findings excluded ae420b9b-cf12-44b6-ae21-c80e062f2221,
1500-1599,"Jun 9, 1573 - Monsummano Terme (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 86573423-2839-4324-b47f-653ebedac842,
1500-1599,May 1574 - Casalpusterlengo (Italy),Excluded — no locatable site identified,research_findings excluded dafa5f90-54ce-4832-a2b8-1b93f899d8fd,
1500-1599,1576 - Gubbio (Italy),Excluded — no locatable site identified,research_findings excluded 7a65f91b-4b23-4bc8-9ea8-3e299d637cad,
1500-1599,May 1576 - Casalbordino (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 794b6fa1-c9d4-4299-ae8d-5a2ab5ad6e27,
1500-1599,"June 7, 1578 - Visora di Conflenti (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 140ff65a-022e-483d-ae71-f6559a909a1a,
1500-1599,Dec 1578 - Poggio di Roio (Italy),Excluded — no locatable site identified,research_findings excluded 08ba8673-976a-4861-be11-989ae9578b81,
