Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1100-1199,1100 - Reguengo do Fetal (Portugal),Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 999ea2f4-e217-4054-9351-d9dcc12b1bd4,
1100-1199,"1100 - St. Denis, Paris (France) - Abbot Ivo",Excluded — no locatable site identified (per existing research; MiracleHunter's own entry has no content beyond the visionary's bare name; MiracleHunter source link added this pass — was missing),research_findings excluded 52e59134-656f-41d9-8774-f87bef3f9ce3,
1100-1199,August 1101 - Citeaux (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate 24be1fbc-2335-458d-824b-2c9b1f92c44a,
1100-1199,1105 - Arras (France),"Queued for approval (same site/candidate as the 1095 Arras entry already logged on the 1000-1099 CSV — MiracleHunter records two separate apparition traditions at this church; MiracleHunter link already present from that pass, no change needed this pass)",research_findings candidate ecb02478-a390-4d7d-a730-c1e9027349e4,
1100-1199,ca. 1120 - Grotta di S. Michele (Italy) - St. John of Matera,"Approved, in sites (marian-sites tag and MiracleHunter source link were both missing on this published, already well-documented site — added live this pass; the claim's apparition site matches the credited shrine itself, though the abbey John founded as a result was built elsewhere near the Gulf of Manfredonia — a nuance, not a Fulda-pattern mismatch)",https://orbisdei.org/site/it-monte-santangelo-sanctuary-of-st-michael-the-archangel,"michael-archangel, michael-line, michaelites"
1100-1199,"(undated) - Saint-Crespin, Hainaut (Belgium) - St. Aibert","Excluded — no locatable site identified (per existing research; the ""Saint-Crespin"" monastery in Hainaut could not be confidently distinguished from similarly-named sites; MiracleHunter source link added this pass — was missing)",research_findings excluded 84076172-c2e9-4451-83c0-162df6bb7101,aibert-crespin
1100-1199,"May 25, 1124 - Monte Virgine (Italy)","Queued for approval (same entry already logged on the 1000-1099 CSV, where MiracleHunter also lists it despite the 1124 date falling in this page's range; this page has a dedicated MH subpage, so the link was upgraded this pass from the 1000-1099 category-index ""Search"" link to the direct subpage link)",research_findings candidate d7881a65-8d5b-4639-9f11-5b4bf4d1e3da,william-vercelli
1100-1199,1134 - Egypt - Our Lady of Liesse (Ismenia),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; note MiracleHunter lists this under ""Egypt"" but the shrine is Liesse-Notre-Dame, France — the captivity occurred in Egypt, the miracle and shrine are French)",research_findings candidate 8f634b6c-b91e-49e4-9b12-85d9d23422e5,
1100-1199,1134 - Antwerp (Belgium) - Baet Soetkens,"Queued for approval (matched to the Church of Our Lady of the Sablon, Brussels — MiracleHunter's entry says ""Antwerp"" but the Soetkens legend is documented as culminating at Brussels' Sablon church, per existing research; MiracleHunter source link added this pass — was missing)",research_findings candidate 78f0c44d-50a6-46e0-ad4d-808ff5795b9e,
1100-1199,1138 - London (England) - St. Thomas a Becket,"Excluded — no locatable site identified (per existing research; only ""London"" generally is named, during Becket's youth; MiracleHunter source link added this pass — was missing)",research_findings excluded 8194b113-3bfb-47ba-9159-b19b4d004d75,
1100-1199,1138 - London (England) - St. Hildegard von Bingen,"Excluded — no locatable site identified (per existing research; MiracleHunter's stated location ""London"" is a clear error — Hildegard's visions occurred in the Rhineland; MiracleHunter source link added this pass — was missing)",research_findings excluded 63c883e2-9324-4ecd-a982-5698d04aa6b8,
1100-1199,1144 - Polsi di San Luca (Italy),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate d7c82e49-0cbb-4ca5-9b2e-130c3e23b404,
1100-1199,"c. March 24, 1150 - Crespano del Grappa, Borbiago (Italy)",Queued for approval (MiracleHunter source link added this pass — was missing; dedicated MH subpage used),research_findings candidate 1b97a84c-36de-45db-bdeb-120b7e3fac2d,
1100-1199,"1150 - Joreval, Yorkshire (England) - Abbot John Kingston of Byland","Queued for approval (matched to Jervaulx Abbey — ""Joreval"" is an old form of Jervaulx; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate eb68961f-4d21-473b-9c6c-b80079ae0428,
1100-1199,c. 1150 - Marsanne (France),"Queued for approval (MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate ebe01ba9-aabd-46ab-80db-207a9af9f3c4,
1100-1199,"1150 - Noiretal, diocese of Leon (France) - an assassin","Excluded — no locatable site identified (per existing research; combined with the separate ""Noiretable"" entry below as plausibly the same mistranscribed legend — neither names a verifiable site; MiracleHunter source link added this pass — was missing)",research_findings excluded 55a0b91f-c034-4a20-bb73-a040bbc59279,
1100-1199,"1152 - Schönau, Nassau - St. Elizabeth of Schönau","Queued for approval (matched to the Church of St. Florin, Schönau; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used)",research_findings candidate e4f061d9-b16d-4235-ba5c-cee03061a34f,elizabeth-schonau
1100-1199,1153 - Fontaine (England) - St. Bernard of Clairvaux,"Queued for approval (matched to Abbey of Clairvaux — MiracleHunter's ""Fontaine (England)"" appears to be a place-name garble, since Bernard was never in England; MiracleHunter source link added this pass — was missing; no dedicated MH subpage exists, category index page used; this DB row is shared with two other entries on this page — see the Cistercian monks/women and Peter Monoculus rows below)",research_findings candidate 8b48b5ed-67c6-4466-af21-d97aed421d6c,"bernard-clairvaux, peter-monoculus"
